iter	Passed	Remaining
0	0	24
1	0	19
2	0	16
3	0	14
4	0	13
5	0	12
6	0	12
7	0	12
8	0	11
9	0	11
10	0	11
11	0	11
12	0	11
13	0	11
14	0	11
15	0	11
16	1	11
17	1	11
18	1	11
19	1	11
20	1	10
21	1	10
22	1	10
23	1	10
24	1	10
25	1	10
26	1	10
27	1	10
28	1	10
29	1	10
30	1	9
31	1	9
32	1	9
33	2	9
34	2	9
35	2	9
36	2	9
37	2	9
38	2	9
39	2	9
40	2	9
41	2	9
42	2	9
43	2	9
44	2	8
45	2	8
46	2	8
47	2	8
48	2	8
49	2	8
50	2	8
51	2	8
52	3	8
53	3	8
54	3	8
55	3	8
56	3	8
57	3	8
58	3	8
59	3	7
60	3	7
61	3	7
62	3	7
63	3	7
64	3	7
65	3	7
66	3	7
67	3	7
68	3	7
69	3	7
70	4	7
71	4	7
72	4	7
73	4	7
74	4	7
75	4	7
76	4	7
77	4	7
78	4	7
79	4	6
80	4	6
81	4	6
82	4	6
83	4	6
84	4	6
85	5	6
86	5	6
87	5	6
88	5	6
89	5	6
90	5	6
91	5	6
92	5	6
93	5	6
94	5	6
95	5	6
96	5	5
97	5	5
98	5	5
99	5	5
100	5	5
101	5	5
102	5	5
103	5	5
104	6	5
105	6	5
106	6	5
107	6	5
108	6	5
109	6	5
110	6	5
111	6	5
112	6	5
113	6	4
114	6	4
115	6	4
116	6	4
117	6	4
118	6	4
119	6	4
120	6	4
121	7	4
122	7	4
123	7	4
124	7	4
125	7	4
126	7	4
127	7	4
128	7	4
129	7	4
130	7	3
131	7	3
132	7	3
133	7	3
134	7	3
135	7	3
136	7	3
137	7	3
138	8	3
139	8	3
140	8	3
141	8	3
142	8	3
143	8	3
144	8	3
145	8	3
146	9	3
147	9	3
148	9	3
149	9	3
150	9	2
151	9	2
152	9	2
153	9	2
154	9	2
155	9	2
156	9	2
157	9	2
158	9	2
159	9	2
160	9	2
161	9	2
162	9	2
163	9	2
164	9	2
165	10	2
166	10	1
167	10	1
168	10	1
169	10	1
170	10	1
171	10	1
172	10	1
173	10	1
174	10	1
175	10	1
176	10	1
177	10	1
178	10	1
179	10	1
180	10	1
181	10	1
182	10	1
183	10	0
184	11	0
185	11	0
186	11	0
187	11	0
188	11	0
189	11	0
190	11	0
191	11	0
192	11	0
193	11	0
194	11	0
195	11	0
196	11	0
197	11	0
198	11	0
199	11	0
